INPUT:option_a	INPUT:option_b	INPUT:option_c	INPUT:option_d	INPUT:question	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
предложение 1	предложение 2	предложение 4	предложение 3	Сережа проводил эксперимент. Он написал в своей записной книжке следующие предложения: Начальная температура воды была 10 градусов по Цельсию. В воду поместили предмет весом 5 граммов. Температура воды повысилась до 15 градусов. Температура объекта, вероятно, была больше 10 градусов. В каком предложении Сережа сделал вывод?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663cd072d52b5a0214f339	00028677a5--656635e693eb880e6311d9f4	00028677a5--65663cd072d52b5a0214f339	00028677a5--65663cd072d52b5a0214f337	a68c09c86bd863f39f4a88b37488c5ce	APPROVED	2023-11-28T19:17:36.978	2023-11-28T19:19:38.911	2023-11-28T19:19:38.911	0.0320000000
Лето в Волгограде жаркое и сухое	Сегодня в Перми температура 12 ° C	Зимы в Норильске холодные и снежные	Солнце зайдет сегодня в Москве в 18:45	Какое утверждение является описанием погоды?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663cd072d52b5a0214f339	00028677a5--656635d172d52b5a0213fec0	00028677a5--65663cd072d52b5a0214f339	00028677a5--65663cd072d52b5a0214f337	a68c09c86bd863f39f4a88b37488c5ce	APPROVED	2023-11-28T19:17:36.978	2023-11-28T19:19:38.911	2023-11-28T19:19:38.911	0.0320000000
Легкие и почки	Мозг и почки	Сердце и легкие	Сердце и печень	Какие два органа в вашем теле работают вместе, чтобы обеспечить поступление кислорода ко всем другим органам вашего тела?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663cd072d52b5a0214f339	00028677a5--656635eb93eb880e6311dd44	00028677a5--65663cd072d52b5a0214f339	00028677a5--65663cd072d52b5a0214f337	a68c09c86bd863f39f4a88b37488c5ce	APPROVED	2023-11-28T19:17:36.978	2023-11-28T19:19:38.911	2023-11-28T19:19:38.911	0.0320000000
конденсация	замерзание	испарение	плавление	Во время какого из процессов, описанных ниже, водяной пар превращается в жидкую воду?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663cd1ac2f3731921167e7	00028677a5--656635e793eb880e6311dae8	00028677a5--65663cd1ac2f3731921167e7	00028677a5--65663cd1ac2f3731921167e5	f0fa4bba802f8b61ddd7dc18eee1a4fd	APPROVED	2023-11-28T19:17:37.909	2023-11-28T19:19:40.556	2023-11-28T19:19:40.556	0.0300000000
предложение 1	предложение 2	предложение 4	предложение 3	Сережа проводил эксперимент. Он написал в своей записной книжке следующие предложения: Начальная температура воды была 10 градусов по Цельсию. В воду поместили предмет весом 5 граммов. Температура воды повысилась до 15 градусов. Температура объекта, вероятно, была больше 10 градусов. В каком предложении Сережа сделал вывод?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663cd1ac2f3731921167e7	00028677a5--656635e693eb880e6311d9f4	00028677a5--65663cd1ac2f3731921167e7	00028677a5--65663cd1ac2f3731921167e5	f0fa4bba802f8b61ddd7dc18eee1a4fd	APPROVED	2023-11-28T19:17:37.909	2023-11-28T19:19:40.556	2023-11-28T19:19:40.556	0.0300000000
кварц	сера	кальцит	полевой шпат	У какого минерала есть шестигранные прозрачные кристаллы, которые могут поцарапать стекло?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663cd1ac2f3731921167e7	00028677a5--656635d172d52b5a0213fede	00028677a5--65663cd1ac2f3731921167e7	00028677a5--65663cd1ac2f3731921167e5	f0fa4bba802f8b61ddd7dc18eee1a4fd	APPROVED	2023-11-28T19:17:37.909	2023-11-28T19:19:40.556	2023-11-28T19:19:40.556	0.0300000000
предложение 1	предложение 2	предложение 4	предложение 3	Сережа проводил эксперимент. Он написал в своей записной книжке следующие предложения: Начальная температура воды была 10 градусов по Цельсию. В воду поместили предмет весом 5 граммов. Температура воды повысилась до 15 градусов. Температура объекта, вероятно, была больше 10 градусов. В каком предложении Сережа сделал вывод?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663cd8e1bebf42ba067325	00028677a5--656635e693eb880e6311d9f4	00028677a5--65663cd8e1bebf42ba067325	00028677a5--65663cd8e1bebf42ba067323	aa3fa1505c49a040598dcf58b219bd2e	APPROVED	2023-11-28T19:17:44.630	2023-11-28T19:18:31.472	2023-11-28T19:18:31.472	0.0320000000
мертвых деревьях	воде	костях животных	камнях	Большое количество металлов, таких как железо и алюминий, содержится в	D				https://platform.toloka.ai/task/42366885/00028677a5--65663cd8e1bebf42ba067325	00028677a5--656635eb93eb880e6311dd9e	00028677a5--65663cd8e1bebf42ba067325	00028677a5--65663cd8e1bebf42ba067323	aa3fa1505c49a040598dcf58b219bd2e	APPROVED	2023-11-28T19:17:44.630	2023-11-28T19:18:31.472	2023-11-28T19:18:31.472	0.0320000000
весы	ручная линза	линейка	мерный стаканчик	Какой инструмент должен использовать ученик для сравнения массы двух небольших камней?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663cd8e1bebf42ba067325	00028677a5--656635d172d52b5a0213feb6	00028677a5--65663cd8e1bebf42ba067325	00028677a5--65663cd8e1bebf42ba067323	aa3fa1505c49a040598dcf58b219bd2e	APPROVED	2023-11-28T19:17:44.630	2023-11-28T19:18:31.472	2023-11-28T19:18:31.472	0.0320000000
спать весь день	ложиться спать поздно	часто есть закуски	ежедневно заниматься спортом	Каким образом люди могут поддерживать хорошее здоровье?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663cddedc5b13fcc9c00ca	00028677a5--656635e893eb880e6311dba3	00028677a5--65663cddedc5b13fcc9c00ca	00028677a5--65663cddedc5b13fcc9c00c8	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:17:49.220	2023-11-28T19:18:25.757	2023-11-28T19:18:25.757	0.0320000000
механическая	световая	электрическая	тепловая	Когда ребенок трясет погремушкой, она издает звук. Какая форма энергии превратилась звуковую?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663cddedc5b13fcc9c00ca	00028677a5--656635e893eb880e6311db80	00028677a5--65663cddedc5b13fcc9c00ca	00028677a5--65663cddedc5b13fcc9c00c8	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:17:49.220	2023-11-28T19:18:25.757	2023-11-28T19:18:25.757	0.0320000000
взять новую лампочку, чтобы закончить тест	спрятать разбитое стекло под стол	попросить своего партнера помочь подобрать разбитое стекло	сказать своему учителю, что она разбила лампочку	Пока Анна проверяла схему, она уронила лампочку. Что может быть самым безопасным для Анны?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663cddedc5b13fcc9c00ca	00028677a5--656635d172d52b5a0213febb	00028677a5--65663cddedc5b13fcc9c00ca	00028677a5--65663cddedc5b13fcc9c00c8	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:17:49.220	2023-11-28T19:18:25.757	2023-11-28T19:18:25.757	0.0320000000
жидкое химическое вещество, используемое для повышения плодородия почвы	материал, который когда-то был живым, но разложился	твердый природный материал с кристаллической структурой	питательное вещество, вырабатываемое растениями, в котором нуждаются другие организмы	Что из следующего лучше всего описывает минерал?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663cdfcb94b61ac9a741aa	00028677a5--656635e793eb880e6311dae4	00028677a5--65663cdfcb94b61ac9a741aa	00028677a5--65663cdfcb94b61ac9a741a6	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:17:51.522	2023-11-28T19:18:35.918	2023-11-28T19:18:35.918	0.0300000000
лист	цветок	корень	стебель	Какая часть растения больше всего отвечает за использование энергии Солнца для производства пищи для растения?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663cdfcb94b61ac9a741aa	00028677a5--656635d172d52b5a0213feb2	00028677a5--65663cdfcb94b61ac9a741aa	00028677a5--65663cdfcb94b61ac9a741a6	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:17:51.522	2023-11-28T19:18:35.918	2023-11-28T19:18:35.918	0.0300000000
Легкие и почки	Мозг и почки	Сердце и легкие	Сердце и печень	Какие два органа в вашем теле работают вместе, чтобы обеспечить поступление кислорода ко всем другим органам вашего тела?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663cdfcb94b61ac9a741aa	00028677a5--656635eb93eb880e6311dd44	00028677a5--65663cdfcb94b61ac9a741aa	00028677a5--65663cdfcb94b61ac9a741a6	6853949dd8cb10f36cf4cade63a12f82	APPROVED	2023-11-28T19:17:51.522	2023-11-28T19:18:35.918	2023-11-28T19:18:35.918	0.0300000000
Легкие и почки	Мозг и почки	Сердце и легкие	Сердце и печень	Какие два органа в вашем теле работают вместе, чтобы обеспечить поступление кислорода ко всем другим органам вашего тела?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663ce71e0df1629af4e2ad	00028677a5--656635eb93eb880e6311dd44	00028677a5--65663ce71e0df1629af4e2ad	00028677a5--65663ce71e0df1629af4e2a9	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:17:59.098	2023-11-28T19:18:31.033	2023-11-28T19:18:31.033	0.0300000000
кварц	сера	кальцит	полевой шпат	У какого минерала есть шестигранные прозрачные кристаллы, которые могут поцарапать стекло?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663ce71e0df1629af4e2ad	00028677a5--656635d172d52b5a0213fede	00028677a5--65663ce71e0df1629af4e2ad	00028677a5--65663ce71e0df1629af4e2a9	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:17:59.098	2023-11-28T19:18:31.033	2023-11-28T19:18:31.033	0.0300000000
